text,category,target,source,source_url
He'd have to go a far ways to run things down as bad as Reagan and Bush did. We didn't have riots but Bush got dumped out on his spotty Behind. We'll see in 4 years. Pope Charles Slack in our time! ?s,talk.politics.misc,5,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Well, it did not take long to see how consequent some Greeks are in requesting that Thessaloniki are not called Solun by Bulgarian netters. So, Napoleon, why do you write about Konstantinople and not Istanbul?",talk.politics.mideast,4,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Hello HELP!!! please I am a student of turbo c++ and graphics programming and I am having some problems finding algorithms and code to teach me how to do some stuff.. 1) Where is there a book or code that will teach me how to read and write pcx,dbf,and gif files? 2) How do I access the extra ram on my paradise video board so I can do paging in the higher vga modes ie: 320x200x256 800x600x256 3) anybody got a line on a good book to help answer these question? Thanks very much ! send reply's to : Palm@snycanva.bitnet",comp.graphics,0,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"This is turning into 'what's a moonbase good for', and I ought not to post when I've a hundred some odd posts to go, but I would think that the real reason to have a moon base is economic. Since someone with space industry will presumeably have a much larger GNP than they would _without_ space industry, eventually, they will simply be able to afford more stuff.",sci.space,2,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Hi, I've come across a fast triangle fill-draw routine for mode 13h. By calling this routine enough times, you have a fast polygon drawing routine. I think I ftp'ed from wuarchive.wustl.edu:/pub/MSDOS_UPLOADS/programming. I have a copy of it so I reupload it there. The triangle.txt file has this to say :",comp.graphics,0,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Geez, where have you been, Ryan? I proposed this theory *months* ago. Let's take it one step further, even. If, as the surveys show, up to 33% of all men have *had* a homosexual encounter, then there must be an even *larger* percentage of people who have had homosexual erotic fantasies. But if less than 10% of the population is gay, what can we say about these people who don't identify as gay but have demonstrated gay potential. Obviously, a large chunk of these people *chose* (or, more accurately, were forced to choose by force of religion and social sanction) to put those feelings aside, to be heterosexual. Obviously, Cramer and Kaldis fall into this category. These people are the ones who are so hung up on ""choice."" Obviously, since *they chose*, everyone must have, and homosexuals are just flaunting their ""perversion"" by choosing not to go along with what society has dictated. Of course, I'm that most awful of perverts. I chose, I gleefully admit that I was heterosexual until I met the right man and *chose* to indulge in my homoerotic potential. Take that! Elf !!! -- elf@halcyon.com (Elf Sternberg)",talk.politics.misc,5,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"OK, the Mets and O's are good examples, but what about the '90 Reds? Do you really think that anyone expected them to sweep the A's? I know people who didn't even think they'd win a game, let alone win the Series. We proved them wrong, though, didn't we? As for this year, ignore their record now. They've had a rocky start, and that has nothing to do with Colorado. They shall rise again. The hunt for a Reds' October continues. (with all due respect to WLW) Bye.",rec.sport.baseball,1,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"That's true. Israeli ID cards do not identify people as Israelies. Smart huh? Yes. There's one warhead in my parent's backyard in Beer Sheva (that's only some 20 miles from Dimona, you know). Evidence? I saw it! Yes. But unfortunately I can't give you more details. That's _secret_, you see. [...] You're welcome. Now, let me ask you a few questions, if you don't mind: 1. Is it true that the Center for Policy Research is a one-man enterprise? 2. Is it true that your questions are not being asked bona fide? 3. Is it true that your statement above, ""These are indeed provocative questions but they are asked time and again by people around me"" is not true?",talk.politics.mideast,4,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"are you sure 45g is the right number? as far as i know, pilots are blackout in dives that exceed 8g - 9g. 45g seems to be out of human tolerance. would anybody clarify this please. lan",sci.space,2,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
"Which was my point. By converting to another religion I do not loose my cultural identity, I just loose my religious identification. I consider that defining the belonging to a nation that claims the right to have a State based on religious belief is a form of racism. To be a part or not of the Jeish Nation is defined by my culture and not by my religion. Actually, if I am an atheist, which is in fact like converting into a non-Jewish in terms of religion, I am still considered as part of the Jewish Nation. I can be proud of my Jewish culture while not giving any importance to the Jewish religion. Or, even more, I can be proud of my Jewish culture while still be convinced that the real god is another one. I do not know anyone who lost his memebership to the American nation because he changed of god. I still believe that we should never confusse the actions of States with the individuals who happen to live there. In the same way that I do not think it is right to blame all Israelis for the human rights violations of Israel, I do not think that we should assume that all Arabs are guilty of the actions of the Arab States. Some people fled their homes because they were scared. Now they are in there, still suffering for what they are not responsible. And, remember that we also were told the same at some point. We ended in the diaspora. And, of course, I am not for doing to others what I did not want done to me.",talk.politics.mideast,4,20 Newsgroups,https://scikit-learn.org/stable/datasets/real_world.html#newsgroups-dataset
